,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
13,'DSL','Wireless Broadband',0.5544768069039914,0.6289104638619202,0.5210355987055016,0.9396887159533075,1.494153412845139,0.17231933287483608,6.152903921773334
49,'Postpaid Roaming','Wireless Broadband',0.313915857605178,0.6289104638619202,0.2837108953613808,0.9037800687285223,1.437056815971424,0.08628592774129581,3.856680536292187
90,"'DTH HD', 'DSL'",'Wireless Broadband',0.313915857605178,0.6289104638619202,0.2988133764832794,0.9518900343642611,1.513554136973705,0.10138840886319442,7.713361072584365
115,"'DTH SD', 'DSL'",'Wireless Broadband',0.2815533980582524,0.6289104638619202,0.2588996763754045,0.9195402298850575,1.4621162831963093,0.08182779820068914,4.612112806287563
144,"'F2H Fiber', 'DSL'",'Wireless Broadband',0.41316073354908306,0.6289104638619202,0.40129449838187703,0.9712793733681463,1.5443841837260233,0.14145338979599198,12.920662940080451
168,"'Postpaid', 'DSL'",'Wireless Broadband',0.37648327939590076,0.6289104638619202,0.3581445523193096,0.9512893982808023,1.5125990946934884,0.12137027843817674,7.6182498889523425
184,"'Postpaid Roaming', 'DSL'",'Wireless Broadband',0.25782092772384035,0.6289104638619202,0.2535059331175836,0.9832635983263599,1.563439718093543,0.09135965386947259,22.17259978425036
196,"'Prepaid', 'DSL'",'Wireless Broadband',0.32470334412081986,0.6289104638619202,0.30960086299892126,0.9534883720930233,1.5160955762096613,0.10539153223037975,7.978425026968721
201,"'DSL', 'Prepaid International'",'Wireless Broadband',0.3667745415318231,0.6289104638619202,0.343042071197411,0.9352941176470587,1.4871657754010694,0.112373724149889,5.735020103952134
296,"'Postpaid Roaming', 'DTH HD'",'Wireless Broadband',0.1855447680690399,0.6289104638619202,0.16720604099244876,0.9011627906976745,1.4328952092225458,0.05051499483899648,3.7545529538676328
367,"'DTH SD', 'Postpaid Roaming'",'Wireless Broadband',0.14455231930960086,0.6289104638619202,0.13052858683926646,0.9029850746268658,1.4357927344410029,0.03961812064994899,3.8250767571155984
